"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","prolific_study_id","prolific_session_id","condition","ramp_orientation","ramp_or_cube","rt","stimulus","response","view_history","trial","correct_response","accuracy","crosses","answer_image","correct","accuracy_bool","end_position","question_order","surprise_setup","choices","selected_position","end_posision","accuracy_finish_line","orientation","farther_color","predicted_further","predicted_direction","farther_color_generalized","relates_to","feedback","age","ethnicity","gender","race","overall_accuracy","bonus"
"true","false","[]","[]","[]","preload","0","204","0.0-0.0","5c118b075fc7db00011b62ae","66672ccc8d46f9e0fed8103f","66952d00e0ce9e17a43f9e7f","3","forward","ramp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2859","0.0-1.0","5c118b075fc7db00011b62ae","66672ccc8d46f9e0fed8103f","66952d00e0ce9e17a43f9e7f","3","forward","ramp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","2","6150","0.0-2.0","5c118b075fc7db00011b62ae","66672ccc8d46f9e0fed8103f","66952d00e0ce9e17a43f9e7f","3","forward","ramp","3289","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people's actions. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take  5 minutes. </p><p><b> Payment:</b> If recruitment materials indicate payment (e.g., Prolific or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","42473","0.0-3.0-0.0","5c118b075fc7db00011b62ae","66672ccc8d46f9e0fed8103f","66952d00e0ce9e17a43f9e7f","3","forward","ramp","36321","","","[{""page_index"":0,""viewing_time"":4470},{""page_index"":1,""viewing_time"":3780},{""page_index"":2,""viewing_time"":2805},{""page_index"":3,""viewing_time"":1812},{""page_index"":4,""viewing_time"":14066},{""page_index"":5,""viewing_time"":2277},{""page_index"":6,""viewing_time"":4845},{""page_index"":7,""viewing_time"":2266}]","instructions_pt1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","47022","0.0-3.0-1.0-0.0","5c118b075fc7db00011b62ae","66672ccc8d46f9e0fed8103f","66952d00e0ce9e17a43f9e7f","3","forward","ramp","4547","<p> In this experiment, you will receive a bonus payment proportional to _________.</p>","0","","comprehension_quiz","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","50152","0.0-3.0-1.0-1.0","5c118b075fc7db00011b62ae","66672ccc8d46f9e0fed8103f","66952d00e0ce9e17a43f9e7f","3","forward","ramp","3129","You will be asked to predict whether objects _________.","1","","comprehension_quiz","1","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","51210","0.0-4.0","5c118b075fc7db00011b62ae","66672ccc8d46f9e0fed8103f","66952d00e0ce9e17a43f9e7f","3","forward","ramp","1057","The experiment will now begin","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","60257","0.0-5.0-0.0","5c118b075fc7db00011b62ae","66672ccc8d46f9e0fed8103f","66952d00e0ce9e17a43f9e7f","3","forward","ramp","9045","<img src=stimuli/r_b_f.jpg style=width:896px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","No","","prediction_trial","No","","false","[""stimuli/r_b_f_1.jpg""]","true","1","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","64577","0.0-5.0-1.0","5c118b075fc7db00011b62ae","66672ccc8d46f9e0fed8103f","66952d00e0ce9e17a43f9e7f","3","forward","ramp","4318","<img src=stimuli/r_b_f_1.jpg style=width:896px></img<br> <center><p> &#9989 Correct! &#9989 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","66431","0.0-6.0-0.0","5c118b075fc7db00011b62ae","66672ccc8d46f9e0fed8103f","66952d00e0ce9e17a43f9e7f","3","forward","ramp","1853","<img src=stimuli/r_y_f.jpg style=width:896px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","No","","prediction_trial","Yes","","true","[""stimuli/r_y_f_3.jpg""]","false","0","3","","","","","","","","","","","","","","","","","","",""
